device_id,heartbeat_ts,mv_in,ma_in
6,2025-04-27 14:52:11.209000 UTC,30000,1700
6,2025-04-27 14:52:41.213000 UTC,28000,1600
6,2025-04-27 14:53:11.326000 UTC,28000,1700
6,2025-04-27 14:53:41.329000 UTC,30000,1700
6,2025-04-27 14:54:11.325000 UTC,30000,1700
6,2025-04-27 14:54:41.338000 UTC,30000,1799
6,2025-04-27 14:55:11.463000 UTC,30000,1899
6,2025-04-27 14:55:41.440000 UTC,30000,2000
6,2025-04-27 14:56:11.448000 UTC,28000,3000
6,2025-04-27 14:56:41.452000 UTC,30000,2599
6,2025-04-27 14:57:11.560000 UTC,28000,3299
6,2025-04-27 14:57:41.564000 UTC,28000,7000
6,2025-04-27 14:58:11.561000 UTC,30000,7199
6,2025-04-27 14:58:41.670000 UTC,30000,7400
6,2025-04-27 14:59:11.672000 UTC,30000,7500
6,2025-04-27 14:59:41.676000 UTC,30000,7500
6,2025-04-27 15:00:11.679000 UTC,28000,7400
6,2025-04-27 15:00:41.788000 UTC,28000,7099
6,2025-04-27 15:01:11.786000 UTC,28000,2200
6,2025-04-27 15:01:41.789000 UTC,28000,2099
6,2025-04-27 15:02:11.896000 UTC,28000,2099
6,2025-04-27 15:02:41.900000 UTC,28000,2200
6,2025-04-27 15:03:11.902000 UTC,30000,2400
6,2025-04-27 15:03:41.916000 UTC,30000,2700
6,2025-04-27 15:04:12.011000 UTC,30000,3000
6,2025-04-27 15:04:42.012000 UTC,28000,3400
6,2025-04-27 15:05:12.018000 UTC,28000,3500
6,2025-04-27 15:05:42.124000 UTC,28000,4900
6,2025-04-27 15:06:12.130000 UTC,30000,5500
6,2025-04-27 15:06:42.130000 UTC,30000,6099
6,2025-04-27 15:07:12.132000 UTC,28000,3599
6,2025-04-27 15:07:42.237000 UTC,28000,2900
6,2025-04-27 15:08:12.241000 UTC,28000,2599
6,2025-04-27 15:08:42.240000 UTC,30000,2500
6,2025-04-27 15:09:12.344000 UTC,28000,2200
6,2025-04-27 15:09:42.349000 UTC,28000,2099
6,2025-04-27 15:10:12.360000 UTC,28000,2099
6,2025-04-27 15:10:42.360000 UTC,28000,2000
6,2025-04-27 15:11:12.464000 UTC,28000,2000
6,2025-04-27 15:11:42.466000 UTC,30000,2000
6,2025-04-27 15:12:12.469000 UTC,30000,2099
6,2025-04-27 15:12:42.994000 UTC,30000,2200
6,2025-04-27 15:13:12.575000 UTC,30000,2200
6,2025-04-27 15:13:42.581000 UTC,30000,2200
6,2025-04-27 15:14:12.684000 UTC,30000,2200
6,2025-04-27 15:14:42.687000 UTC,30000,2099
6,2025-04-27 15:15:12.793000 UTC,34000,100
6,2025-04-27 15:15:43.103000 UTC,30000,2000
6,2025-04-27 15:16:12.799000 UTC,30000,1899
6,2025-04-27 15:16:42.802000 UTC,30000,2000
6,2025-04-27 15:17:12.805000 UTC,30000,2000
6,2025-04-27 15:17:42.911000 UTC,30000,2000
6,2025-04-27 15:18:12.917000 UTC,30000,2000
6,2025-04-27 15:18:42.918000 UTC,30000,2099
6,2025-04-27 15:19:12.924000 UTC,30000,2200
6,2025-04-27 15:19:43.029000 UTC,30000,2200
6,2025-04-27 15:20:13.030000 UTC,30000,2200
6,2025-04-27 15:20:43.035000 UTC,30000,2200
6,2025-04-27 15:21:13.139000 UTC,30000,2099
6,2025-04-27 15:21:43.142000 UTC,30000,2099
6,2025-04-27 15:22:13.145000 UTC,30000,2099
6,2025-04-27 15:22:43.152000 UTC,30000,2099
6,2025-04-27 15:23:13.258000 UTC,0,0
6,2025-04-27 15:23:43.267000 UTC,30000,6599
6,2025-04-27 15:24:13.261000 UTC,30000,4099
6,2025-04-27 15:24:43.372000 UTC,30000,2799
6,2025-04-27 15:25:13.369000 UTC,30000,2799
6,2025-04-27 15:25:43.386000 UTC,30000,2900
6,2025-04-27 15:26:13.376000 UTC,30000,3299
6,2025-04-27 15:26:43.482000 UTC,32000,4500
6,2025-04-27 15:27:13.487000 UTC,30000,3000
6,2025-04-27 15:27:43.488000 UTC,28000,3799
6,2025-04-27 15:28:13.594000 UTC,26000,7300
6,2025-04-27 15:28:43.600000 UTC,28000,7400
6,2025-04-27 15:29:13.600000 UTC,30000,4199
6,2025-04-27 15:29:43.612000 UTC,30000,3400
6,2025-04-27 15:30:13.709000 UTC,28000,2700
6,2025-04-27 15:30:43.715000 UTC,28000,2500
6,2025-04-27 15:31:13.716000 UTC,30000,2299
6,2025-04-27 15:31:43.822000 UTC,30000,2200
6,2025-04-27 15:32:13.825000 UTC,30000,2099
6,2025-04-27 15:32:43.828000 UTC,30000,2299
6,2025-04-27 15:33:13.834000 UTC,30000,2500
6,2025-04-27 15:33:43.941000 UTC,28000,7400
6,2025-04-27 15:34:13.940000 UTC,30000,7300
6,2025-04-27 15:34:43.940000 UTC,30000,7500
6,2025-04-27 15:35:14.052000 UTC,28000,7699
6,2025-04-27 15:35:44.052000 UTC,28000,7800
6,2025-04-27 15:36:14.056000 UTC,28000,7800
6,2025-04-27 15:36:44.061000 UTC,28000,7599
